granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,municip,municip3018,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4466,4151,3379,627,75.5,70.2,57.1,10.6,5913,Våler,2022-10-19
total,municip,municip3019,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14399,13460,9860,1912,77,72,52.7,10.2,18699,Vestby,2022-10-19
total,municip,municip3020,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,48112,44533,32314,8428,78.8,73,52.9,13.8,61032,Nordre Follo,2022-10-19
total,municip,municip3021,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,16215,14982,10146,2068,78,72.1,48.8,10,20780,Ås,2022-10-19
total,municip,municip3022,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12991,12175,9356,2901,80.8,75.7,58.2,18,16084,Frogn,2022-10-19
total,municip,municip3023,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15437,14230,10424,2332,77.4,71.4,52.3,11.7,19939,Nesodden,2022-10-19
total,municip,municip3024,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,101473,93800,73798,17267,78.7,72.7,57.2,13.4,128982,Bærum,2022-10-19
total,municip,municip3025,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,75741,69978,52663,14773,78.8,72.8,54.8,15.4,96088,Asker,2022-10-19
total,municip,municip3026,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14207,13324,10130,1768,80,75,57.1,10,17754,Aurskog-Høland,2022-10-19
total,municip,municip3027,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14556,13328,9734,1930,76.5,70.1,51.2,10.1,19024,Rælingen,2022-10-19
total,municip,municip3028,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8798,8030,6234,967,78.2,71.4,55.4,8.6,11249,Enebakk,2022-10-19
total,municip,municip3029,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,35228,32528,22975,4718,78.8,72.8,51.4,10.6,44693,Lørenskog,2022-10-19
total,municip,municip3030,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,69649,64302,46193,9325,78.2,72.2,51.8,10.5,89095,Lillestrøm,2022-10-19
total,municip,municip3031,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19854,18371,14520,3824,79.6,73.6,58.2,15.3,24947,Nittedal,2022-10-19
total,municip,municip3032,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5644,5253,4075,1184,80.8,75.2,58.3,16.9,6989,Gjerdrum,2022-10-19
total,municip,municip3033,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,31374,28865,20766,4865,75.5,69.4,50,11.7,41565,Ullensaker,2022-10-19
total,municip,municip3034,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18530,17333,12541,2763,77.5,72.5,52.5,11.6,23898,Nes,2022-10-19
total,municip,municip3035,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20935,19509,14443,3501,78.4,73,54.1,13.1,26716,Eidsvoll,2022-10-19
total,municip,municip3036,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11699,10839,8032,2338,77.6,71.9,53.3,15.5,15074,Nannestad,2022-10-19
total,municip,municip3037,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2283,2147,1595,515,78.6,73.9,54.9,17.7,2905,Hurdal,2022-10-19
total,municip,municip3038,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5216,4821,3779,1128,76,70.3,55.1,16.4,6859,Hole,2022-10-19
