granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing
week,nation,norge,2020,80-89,female,2020,16,2020-16,2019/2020,39,2020-04-19,21,2022-03-03
week,nation,norge,2020,80-89,male,2020,16,2020-16,2019/2020,39,2020-04-19,5,2022-03-03
week,nation,norge,2020,90+,female,2020,16,2020-16,2019/2020,39,2020-04-19,7,2022-03-03
week,nation,norge,2020,90+,male,2020,16,2020-16,2019/2020,39,2020-04-19,5,2022-03-03
week,nation,norge,2020,0-9,female,2020,17,2020-17,2019/2020,40,2020-04-26,8,2022-03-03
week,nation,norge,2020,0-9,male,2020,17,2020-17,2019/2020,40,2020-04-26,17,2022-03-03
week,nation,norge,2020,10-19,female,2020,17,2020-17,2019/2020,40,2020-04-26,32,2022-03-03
week,nation,norge,2020,10-19,male,2020,17,2020-17,2019/2020,40,2020-04-26,21,2022-03-03
week,nation,norge,2020,20-29,female,2020,17,2020-17,2019/2020,40,2020-04-26,43,2022-03-03
week,nation,norge,2020,20-29,male,2020,17,2020-17,2019/2020,40,2020-04-26,49,2022-03-03
week,nation,norge,2020,30-39,female,2020,17,2020-17,2019/2020,40,2020-04-26,30,2022-03-03
week,nation,norge,2020,30-39,male,2020,17,2020-17,2019/2020,40,2020-04-26,37,2022-03-03
week,nation,norge,2020,40-49,female,2020,17,2020-17,2019/2020,40,2020-04-26,33,2022-03-03
week,nation,norge,2020,40-49,male,2020,17,2020-17,2019/2020,40,2020-04-26,27,2022-03-03
week,nation,norge,2020,50-59,female,2020,17,2020-17,2019/2020,40,2020-04-26,28,2022-03-03
week,nation,norge,2020,50-59,male,2020,17,2020-17,2019/2020,40,2020-04-26,37,2022-03-03
week,nation,norge,2020,60-69,female,2020,17,2020-17,2019/2020,40,2020-04-26,14,2022-03-03
week,nation,norge,2020,60-69,male,2020,17,2020-17,2019/2020,40,2020-04-26,12,2022-03-03
week,nation,norge,2020,70-79,female,2020,17,2020-17,2019/2020,40,2020-04-26,7,2022-03-03
week,nation,norge,2020,70-79,male,2020,17,2020-17,2019/2020,40,2020-04-26,7,2022-03-03
week,nation,norge,2020,80-89,female,2020,17,2020-17,2019/2020,40,2020-04-26,9,2022-03-03
week,nation,norge,2020,80-89,male,2020,17,2020-17,2019/2020,40,2020-04-26,5,2022-03-03
week,nation,norge,2020,90+,female,2020,17,2020-17,2019/2020,40,2020-04-26,5,2022-03-03
week,nation,norge,2020,90+,male,2020,17,2020-17,2019/2020,40,2020-04-26,2,2022-03-03
week,nation,norge,2020,0-9,female,2020,18,2020-18,2019/2020,41,2020-05-03,9,2022-03-03
week,nation,norge,2020,0-9,male,2020,18,2020-18,2019/2020,41,2020-05-03,4,2022-03-03
week,nation,norge,2020,10-19,female,2020,18,2020-18,2019/2020,41,2020-05-03,14,2022-03-03
week,nation,norge,2020,10-19,male,2020,18,2020-18,2019/2020,41,2020-05-03,31,2022-03-03
week,nation,norge,2020,20-29,female,2020,18,2020-18,2019/2020,41,2020-05-03,29,2022-03-03
week,nation,norge,2020,20-29,male,2020,18,2020-18,2019/2020,41,2020-05-03,30,2022-03-03
week,nation,norge,2020,30-39,female,2020,18,2020-18,2019/2020,41,2020-05-03,28,2022-03-03
week,nation,norge,2020,30-39,male,2020,18,2020-18,2019/2020,41,2020-05-03,32,2022-03-03
week,nation,norge,2020,40-49,female,2020,18,2020-18,2019/2020,41,2020-05-03,23,2022-03-03
week,nation,norge,2020,40-49,male,2020,18,2020-18,2019/2020,41,2020-05-03,25,2022-03-03
week,nation,norge,2020,50-59,female,2020,18,2020-18,2019/2020,41,2020-05-03,19,2022-03-03
week,nation,norge,2020,50-59,male,2020,18,2020-18,2019/2020,41,2020-05-03,27,2022-03-03
week,nation,norge,2020,60-69,female,2020,18,2020-18,2019/2020,41,2020-05-03,6,2022-03-03
week,nation,norge,2020,60-69,male,2020,18,2020-18,2019/2020,41,2020-05-03,13,2022-03-03
week,nation,norge,2020,70-79,female,2020,18,2020-18,2019/2020,41,2020-05-03,3,2022-03-03
week,nation,norge,2020,70-79,male,2020,18,2020-18,2019/2020,41,2020-05-03,5,2022-03-03
week,nation,norge,2020,80-89,female,2020,18,2020-18,2019/2020,41,2020-05-03,4,2022-03-03
week,nation,norge,2020,80-89,male,2020,18,2020-18,2019/2020,41,2020-05-03,5,2022-03-03
week,nation,norge,2020,90+,female,2020,18,2020-18,2019/2020,41,2020-05-03,1,2022-03-03
week,nation,norge,2020,90+,male,2020,18,2020-18,2019/2020,41,2020-05-03,1,2022-03-03
week,nation,norge,2020,0-9,female,2020,19,2020-19,2019/2020,42,2020-05-10,6,2022-03-03
week,nation,norge,2020,0-9,male,2020,19,2020-19,2019/2020,42,2020-05-10,6,2022-03-03
week,nation,norge,2020,10-19,female,2020,19,2020-19,2019/2020,42,2020-05-10,11,2022-03-03
week,nation,norge,2020,10-19,male,2020,19,2020-19,2019/2020,42,2020-05-10,12,2022-03-03
week,nation,norge,2020,20-29,female,2020,19,2020-19,2019/2020,42,2020-05-10,14,2022-03-03
week,nation,norge,2020,20-29,male,2020,19,2020-19,2019/2020,42,2020-05-10,18,2022-03-03
week,nation,norge,2020,30-39,female,2020,19,2020-19,2019/2020,42,2020-05-10,23,2022-03-03
week,nation,norge,2020,30-39,male,2020,19,2020-19,2019/2020,42,2020-05-10,34,2022-03-03
week,nation,norge,2020,40-49,female,2020,19,2020-19,2019/2020,42,2020-05-10,14,2022-03-03
week,nation,norge,2020,40-49,male,2020,19,2020-19,2019/2020,42,2020-05-10,20,2022-03-03
week,nation,norge,2020,50-59,female,2020,19,2020-19,2019/2020,42,2020-05-10,23,2022-03-03
week,nation,norge,2020,50-59,male,2020,19,2020-19,2019/2020,42,2020-05-10,21,2022-03-03
week,nation,norge,2020,60-69,female,2020,19,2020-19,2019/2020,42,2020-05-10,4,2022-03-03
week,nation,norge,2020,60-69,male,2020,19,2020-19,2019/2020,42,2020-05-10,6,2022-03-03
week,nation,norge,2020,70-79,female,2020,19,2020-19,2019/2020,42,2020-05-10,4,2022-03-03
week,nation,norge,2020,70-79,male,2020,19,2020-19,2019/2020,42,2020-05-10,2,2022-03-03
week,nation,norge,2020,80-89,female,2020,19,2020-19,2019/2020,42,2020-05-10,4,2022-03-03
week,nation,norge,2020,80-89,male,2020,19,2020-19,2019/2020,42,2020-05-10,0,2022-03-03
week,nation,norge,2020,90+,female,2020,19,2020-19,2019/2020,42,2020-05-10,0,2022-03-03
week,nation,norge,2020,90+,male,2020,19,2020-19,2019/2020,42,2020-05-10,0,2022-03-03
week,nation,norge,2020,0-9,female,2020,20,2020-20,2019/2020,43,2020-05-17,7,2022-03-03
week,nation,norge,2020,0-9,male,2020,20,2020-20,2019/2020,43,2020-05-17,3,2022-03-03
week,nation,norge,2020,10-19,female,2020,20,2020-20,2019/2020,43,2020-05-17,6,2022-03-03
week,nation,norge,2020,10-19,male,2020,20,2020-20,2019/2020,43,2020-05-17,6,2022-03-03
week,nation,norge,2020,20-29,female,2020,20,2020-20,2019/2020,43,2020-05-17,11,2022-03-03
week,nation,norge,2020,20-29,male,2020,20,2020-20,2019/2020,43,2020-05-17,7,2022-03-03
week,nation,norge,2020,30-39,female,2020,20,2020-20,2019/2020,43,2020-05-17,18,2022-03-03
week,nation,norge,2020,30-39,male,2020,20,2020-20,2019/2020,43,2020-05-17,14,2022-03-03
week,nation,norge,2020,40-49,female,2020,20,2020-20,2019/2020,43,2020-05-17,14,2022-03-03
week,nation,norge,2020,40-49,male,2020,20,2020-20,2019/2020,43,2020-05-17,8,2022-03-03
week,nation,norge,2020,50-59,female,2020,20,2020-20,2019/2020,43,2020-05-17,10,2022-03-03
week,nation,norge,2020,50-59,male,2020,20,2020-20,2019/2020,43,2020-05-17,10,2022-03-03
week,nation,norge,2020,60-69,female,2020,20,2020-20,2019/2020,43,2020-05-17,0,2022-03-03
week,nation,norge,2020,60-69,male,2020,20,2020-20,2019/2020,43,2020-05-17,2,2022-03-03
week,nation,norge,2020,70-79,female,2020,20,2020-20,2019/2020,43,2020-05-17,5,2022-03-03
week,nation,norge,2020,70-79,male,2020,20,2020-20,2019/2020,43,2020-05-17,3,2022-03-03
week,nation,norge,2020,80-89,female,2020,20,2020-20,2019/2020,43,2020-05-17,0,2022-03-03
week,nation,norge,2020,80-89,male,2020,20,2020-20,2019/2020,43,2020-05-17,1,2022-03-03
week,nation,norge,2020,90+,female,2020,20,2020-20,2019/2020,43,2020-05-17,2,2022-03-03
week,nation,norge,2020,90+,male,2020,20,2020-20,2019/2020,43,2020-05-17,0,2022-03-03
