granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,location_name
day,county,county11,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-30,0,Rogaland
day,county,county11,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-01,0,Rogaland
day,county,county11,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-02,0,Rogaland
day,county,county11,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,0,Rogaland
day,county,county11,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-04,1,Rogaland
day,county,county11,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-05,0,Rogaland
day,county,county11,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-06,1,Rogaland
day,county,county11,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-07,0,Rogaland
day,county,county11,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-08,0,Rogaland
day,county,county11,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-09,0,Rogaland
day,county,county11,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-10,0,Rogaland
day,county,county11,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-11,0,Rogaland
day,county,county11,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-12,1,Rogaland
day,county,county11,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-13,0,Rogaland
day,county,county11,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-14,0,Rogaland
day,county,county11,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-15,0,Rogaland
day,county,county11,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-16,0,Rogaland
day,county,county11,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-17,0,Rogaland
day,county,county11,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-18,0,Rogaland
day,county,county11,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-19,0,Rogaland
day,county,county11,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-20,0,Rogaland
day,county,county11,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-21,0,Rogaland
day,county,county11,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-22,0,Rogaland
day,county,county11,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-23,0,Rogaland
day,county,county11,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-24,0,Rogaland
day,county,county11,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-25,0,Rogaland
day,county,county11,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-26,0,Rogaland
day,county,county11,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-27,0,Rogaland
day,county,county11,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-28,1,Rogaland
day,county,county11,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-29,0,Rogaland
day,county,county11,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-30,0,Rogaland
day,county,county11,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-31,0,Rogaland
day,county,county11,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-01,0,Rogaland
day,county,county11,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-02,0,Rogaland
day,county,county11,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-03,0,Rogaland
day,county,county15,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-21,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-22,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-23,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-24,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-25,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-26,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-27,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-28,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-29,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,9,2020-09,2019/2020,32,2020-03-01,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-02,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-03,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-04,2,Møre og Romsdal
day,county,county15,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-05,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-06,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-07,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-08,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-09,4,Møre og Romsdal
day,county,county15,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-10,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-11,3,Møre og Romsdal
day,county,county15,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-12,8,Møre og Romsdal
day,county,county15,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-13,3,Møre og Romsdal
day,county,county15,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-14,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-15,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-16,9,Møre og Romsdal
day,county,county15,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-17,3,Møre og Romsdal
day,county,county15,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-18,5,Møre og Romsdal
day,county,county15,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-19,10,Møre og Romsdal
day,county,county15,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-20,7,Møre og Romsdal
day,county,county15,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-21,6,Møre og Romsdal
day,county,county15,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,2,Møre og Romsdal
day,county,county15,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-23,7,Møre og Romsdal
day,county,county15,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-24,6,Møre og Romsdal
day,county,county15,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-25,7,Møre og Romsdal
day,county,county15,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-26,10,Møre og Romsdal
day,county,county15,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-27,3,Møre og Romsdal
day,county,county15,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-28,2,Møre og Romsdal
