granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,municip,municip3027,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14221,12619,4745,75.9,67.4,25.3,18730,Rælingen,2021-12-23
total,municip,municip3028,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8689,7737,2693,78.5,69.9,24.3,11065,Enebakk,2021-12-23
total,municip,municip3029,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,33961,30272,11097,79.5,70.8,26,42740,Lørenskog,2021-12-23
total,municip,municip3030,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,68233,61239,20108,78.5,70.4,23.1,86953,Lillestrøm,2021-12-23
total,municip,municip3031,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19669,17764,6712,80.4,72.6,27.4,24454,Nittedal,2021-12-23
total,municip,municip3032,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5458,4936,1817,77.5,70.1,25.8,7043,Gjerdrum,2021-12-23
total,municip,municip3033,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,30625,27360,9199,75.7,67.6,22.7,40459,Ullensaker,2021-12-23
total,municip,municip3034,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18294,16756,5261,78.1,71.5,22.5,23422,Nes,2021-12-23
total,municip,municip3035,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20568,18739,7155,79,72,27.5,26031,Eidsvoll,2021-12-23
total,municip,municip3036,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11413,10294,3631,78,70.3,24.8,14637,Nannestad,2021-12-23
total,municip,municip3037,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2244,2080,870,79.1,73.3,30.7,2838,Hurdal,2021-12-23
total,municip,municip3038,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5215,4778,1721,76.6,70.2,25.3,6811,Hole,2021-12-23
total,municip,municip3039,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,864,810,367,82.4,77.2,35,1049,Flå,2021-12-23
total,municip,municip3040,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2695,2517,1143,82.6,77.2,35,3262,Nesbyen,2021-12-23
