granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,n_hospital_all_causes,date_of_publishing
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-10,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-11,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-12,0,0,1,2022-03-15
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-13,1,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-14,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-15,0,3,4,2022-03-15
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-16,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-17,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-18,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-19,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-20,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-21,1,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-22,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-23,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-24,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-25,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-26,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-27,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-28,1,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-29,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-30,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-08-31,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-01,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-02,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-03,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-04,0,3,4,2022-03-15
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-05,1,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-06,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-07,0,4,4,2022-03-15
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-08,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-09,0,4,4,2022-03-15
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-10,0,4,4,2022-03-15
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-11,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-12,1,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-13,1,1,3,2022-03-15
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-14,1,6,7,2022-03-15
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-15,1,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-16,0,4,4,2022-03-15
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-17,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-18,0,3,4,2022-03-15
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-19,0,5,7,2022-03-15
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-20,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-21,1,3,6,2022-03-15
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-22,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-23,1,3,4,2022-03-15
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-24,0,3,4,2022-03-15
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-25,1,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-26,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-27,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-28,1,6,6,2022-03-15
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-29,0,4,5,2022-03-15
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-30,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-01,1,5,7,2022-03-15
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-02,0,4,4,2022-03-15
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-03,0,0,2,2022-03-15
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-04,1,1,3,2022-03-15
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-05,0,2,4,2022-03-15
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-06,0,1,4,2022-03-15
