granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,date_of_publishing
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-31,0,6,2022-07-27
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-11-01,0,5,2022-07-27
day,nation,norge,2020,total,total,2020,45,2020-45,2020/2021,16,2020-11-02,2,13,2022-07-27
day,nation,norge,2020,total,total,2020,45,2020-45,2020/2021,16,2020-11-03,6,18,2022-07-27
day,nation,norge,2020,total,total,2020,45,2020-45,2020/2021,16,2020-11-04,2,9,2022-07-27
day,nation,norge,2020,total,total,2020,45,2020-45,2020/2021,16,2020-11-05,3,18,2022-07-27
day,nation,norge,2020,total,total,2020,45,2020-45,2020/2021,16,2020-11-06,3,18,2022-07-27
day,nation,norge,2020,total,total,2020,45,2020-45,2020/2021,16,2020-11-07,0,12,2022-07-27
day,nation,norge,2020,total,total,2020,45,2020-45,2020/2021,16,2020-11-08,1,10,2022-07-27
day,nation,norge,2020,total,total,2020,46,2020-46,2020/2021,17,2020-11-09,1,15,2022-07-27
day,nation,norge,2020,total,total,2020,46,2020-46,2020/2021,17,2020-11-10,1,13,2022-07-27
day,nation,norge,2020,total,total,2020,46,2020-46,2020/2021,17,2020-11-11,2,21,2022-07-27
day,nation,norge,2020,total,total,2020,46,2020-46,2020/2021,17,2020-11-12,4,18,2022-07-27
day,nation,norge,2020,total,total,2020,46,2020-46,2020/2021,17,2020-11-13,1,20,2022-07-27
